"","AREAYEAR","AREA","OCC_GROUP","YEAR","AREA_TITLE","TOT_EMP","AO_EMP","nat_growth","nat_share","loc_share","natl_shock_wt","true_growth","index_nsa"
"1",104202016,10420,"Service Sector",2016,"Akron, OH",135700,327340,NA,0.414553675077901,0.414553675077901,NA,NA,154.28625
"2",104202016,10420,"Agriculture",2016,"Akron, OH",230,327340,NA,0.000702633347589662,0.000702633347589662,NA,NA,154.28625
"3",104202016,10420,"Skilled Trades",2016,"Akron, OH",71450,327340,NA,0.218274576892528,0.218274576892528,NA,NA,154.28625
"4",104202016,10420,"Entertainment",2016,"Akron, OH",3620,327340,NA,0.0110588379055416,0.0110588379055416,NA,NA,154.28625
"5",104202016,10420,"Health Sector",2016,"Akron, OH",33400,327340,NA,0.102034581780412,0.102034581780412,NA,NA,154.28625
"6",104202016,10420,"Public Sector & Education",2016,"Akron, OH",32420,327340,NA,0.0990407527341602,0.0990407527341602,NA,NA,154.28625
"7",104202016,10420,"STEM & Professions",2016,"Akron, OH",50530,327340,NA,0.154365491537851,0.154365491537851,NA,NA,154.28625
"8",104202017,10420,"Skilled Trades",2017,"Akron, OH",70290,328230,0.00866715011657236,0.218274576892528,0.214148615300247,0.00189181852455885,0.00274935084771651,161.5075
"9",104202017,10420,"Agriculture",2017,"Akron, OH",160,328230,0.0310994730546665,0.000702633347589662,0.000487463059440027,0.0000218515268606748,0.00274935084771651,161.5075
"10",104202017,10420,"Entertainment",2017,"Akron, OH",3360,328230,0.0226264950504542,0.0110588379055416,0.0102367242482406,0.000250222741133513,0.00274935084771651,161.5075
"11",104202017,10420,"Public Sector & Education",2017,"Akron, OH",31800,328230,0.0158166487129007,0.0990407527341602,0.0968832830637053,0.00156649279425747,0.00274935084771651,161.5075
"12",104202017,10420,"STEM & Professions",2017,"Akron, OH",50630,328230,0.0229425616055889,0.154365491537851,0.154251591871553,0.00354153979938415,0.00274935084771651,161.5075
"13",104202017,10420,"Health Sector",2017,"Akron, OH",34320,328230,0.0207224566218244,0.102034581780412,0.104560826249886,0.00211440719487058,0.00274935084771651,161.5075
"14",104202017,10420,"Service Sector",2017,"Akron, OH",137690,328230,0.0128548052534285,0.414553675077901,0.419492429089358,0.00532900676021948,0.00274935084771651,161.5075
"15",104202018,10420,"Agriculture",2018,"Akron, OH",120,327510,0.0040131682081831,0.000702633347589662,0.000366401025922873,0.0000028197858125561,-0.00231530845392232,169.98
"16",104202018,10420,"Entertainment",2018,"Akron, OH",3460,327510,0.0287237782725888,0.0110588379055416,0.0105645629141095,0.000317651607951278,-0.00231530845392232,169.98
"17",104202018,10420,"Health Sector",2018,"Akron, OH",33000,327510,0.0125419517764624,0.102034581780412,0.10076028212879,0.00127971280422143,-0.00231530845392232,169.98
"18",104202018,10420,"Skilled Trades",2018,"Akron, OH",70290,327510,0.0301776437171053,0.218274576892528,0.214619400934323,0.00658701241396461,-0.00231530845392232,169.98
"19",104202018,10420,"Public Sector & Education",2018,"Akron, OH",28950,327510,0.01193265756871,0.0990407527341602,0.088394247503893,0.00118181938772402,-0.00231530845392232,169.98
"20",104202018,10420,"STEM & Professions",2018,"Akron, OH",53580,327510,0.0317612044610044,0.154365491537851,0.163598058074563,0.00490283393845711,-0.00231530845392232,169.98
"21",104202018,10420,"Service Sector",2018,"Akron, OH",138090,327510,0.00772362603218774,0.414553675077901,0.421635980580746,0.00320185755657077,-0.00231530845392232,169.98
"22",104202019,10420,"Health Sector",2019,"Akron, OH",36470,329610,0.185588053275097,0.102034581780412,0.110645914869088,0.0189363993993653,0.0065040153897829,178.43375
"23",104202019,10420,"Agriculture",2019,"Akron, OH",100,329610,0.00215470130843456,0.000702633347589662,0.000303388853493523,0.0000015139649934012,0.0065040153897829,178.43375
