"","OCC_TITLE","YEAR","TOT_EMP","AOY","AOY_sh","nat_growth"
"1","Architecture and Engineering Occupations",2016,1463620,78937840,0.0185414244929935,NA
"2","Architecture and Engineering Occupations",2017,1479100,80182190,0.0184467398558208,1.0576515762288
"3","Architecture and Engineering Occupations",2018,1507190,81541710,0.0184836692779683,1.89912784801569
"4","Architecture and Engineering Occupations",2019,1531270,82910710,0.0184689046807101,1.59767514381067
"5","Architecture and Engineering Occupations",2020,1496550,79002570,0.0189430546373365,-2.26739895642179
"6","Architecture and Engineering Occupations",2021,1427340,78956820,0.0180774757646015,-4.62463666432795
"7","Architecture and Engineering Occupations",2022,1453540,82430670,0.0176334852064165,1.83558227191839
"8","Architecture and Engineering Occupations",2023,1492870,84468640,0.0176736597156057,2.70580788970376
"9","Arts, Design, Entertainment, Sports, and Media Occupations",2016,920560,78937840,0.0116618341723057,NA
"10","Arts, Design, Entertainment, Sports, and Media Occupations",2017,940100,80182190,0.0117245488056637,2.12262101329625
"11","Arts, Design, Entertainment, Sports, and Media Occupations",2018,967460,81541710,0.0118646027904002,2.9103286884374
"12","Arts, Design, Entertainment, Sports, and Media Occupations",2019,989720,82910710,0.0119371791653937,2.30087032021996
"13","Arts, Design, Entertainment, Sports, and Media Occupations",2020,914300,79002570,0.0115730412314435,-7.62033706502849
"14","Arts, Design, Entertainment, Sports, and Media Occupations",2021,871970,78956820,0.0110436311898073,-4.62977140982172
"15","Arts, Design, Entertainment, Sports, and Media Occupations",2022,954800,82430670,0.0115830673219082,9.49918001766116
"16","Arts, Design, Entertainment, Sports, and Media Occupations",2023,1000470,84468640,0.0118442773554777,4.78320067029745
"17","Building and Grounds Cleaning and Maintenance Occupations",2016,2471440,78937840,0.0313086854162718,NA
"18","Building and Grounds Cleaning and Maintenance Occupations",2017,2476300,80182190,0.0308834168784864,0.196646489496002
"19","Building and Grounds Cleaning and Maintenance Occupations",2018,2479280,81541710,0.0304050528251124,0.120340831078625
"20","Building and Grounds Cleaning and Maintenance Occupations",2019,2479550,82910710,0.029906269045338,0.0108902584621342
"21","Building and Grounds Cleaning and Maintenance Occupations",2020,2296290,79002570,0.0290660164599709,-7.39085721199411
"22","Building and Grounds Cleaning and Maintenance Occupations",2021,2292190,78956820,0.0290309310835973,-0.178548876666275
"23","Building and Grounds Cleaning and Maintenance Occupations",2022,2387510,82430670,0.0289638553222969,4.15846853882095
"24","Building and Grounds Cleaning and Maintenance Occupations",2023,2457280,84468640,0.0290910330745233,2.92229142495738
"25","Business and Financial Operations Occupations",2016,3963230,78937840,0.0502069729802589,NA
"26","Business and Financial Operations Occupations",2017,4084590,80182190,0.0509413624147707,3.06214880287039
"27","Business and Financial Operations Occupations",2018,4211350,81541710,0.0516465744954331,3.1033714522143
"28","Business and Financial Operations Occupations",2019,4386690,82910710,0.0529086049317392,4.16351051325584
"29","Business and Financial Operations Occupations",2020,4618540,79002570,0.0584606298250804,5.28530623317353
"30","Business and Financial Operations Occupations",2021,4829020,78956820,0.0611602645597936,4.55728433660854
"31","Business and Financial Operations Occupations",2022,5122420,82430670,0.0621421614066706,6.07576692579447
"32","Business and Financial Operations Occupations",2023,5302500,84468640,0.0627747765324504,3.515525864728
"33","Community and Social Service Occupations",2016,1091060,78937840,0.0138217615278047,NA
"34","Community and Social Service Occupations",2017,1131030,80182190,0.0141057509155088,3.66340989496453
"35","Community and Social Service Occupations",2018,1170050,81541710,0.0143490981486653,3.44995269798325
"36","Community and Social Service Occupations",2019,1205700,82910710,0.0145421502240181,3.04687833853254
"37","Community and Social Service Occupations",2020,1204080,79002570,0.0152410231717778,-0.134361781537696
"38","Community and Social Service Occupations",2021,1213120,78956820,0.0153643472470143,0.75078067902465
"39","Community and Social Service Occupations",2022,1245730,82430670,0.0151124575355265,2.68810999736217
"40","Community and Social Service Occupations",2023,1312210,84468640,0.0155348777960673,5.33662992783348
"41","Computer and Mathematical Occupations",2016,2267610,78937840,0.0287265271003108,NA
"42","Computer and Mathematical Occupations",2017,2324600,80182190,0.0289914755383957,2.5132187633676
"43","Computer and Mathematical Occupations",2018,2390890,81541710,0.0293210677087836,2.85167340617741
"44","Computer and Mathematical Occupations",2019,2484310,82910710,0.0299636802048855,3.90733157945368
"45","Computer and Mathematical Occupations",2020,2498270,79002570,0.0316226421494896,0.561926651665855
"46","Computer and Mathematical Occupations",2021,2397770,78956820,0.0303681176622868,-4.02278376636633
"47","Computer and Mathematical Occupations",2022,2545030,82430670,0.0308747945394596,6.14153984744158
"48","Computer and Mathematical Occupations",2023,2591440,84468640,0.0306793148321081,1.82355414278024
"49","Construction and Extraction Occupations",2016,3244350,78937840,0.0411000605033023,NA
"50","Construction and Extraction Occupations",2017,3355970,80182190,0.0418543070474877,3.44044261562409
"51","Construction and Extraction Occupations",2018,3484260,81541710,0.0427297882273992,3.82273977419345
"52","Construction and Extraction Occupations",2019,3629690,82910710,0.0437783007768236,4.17391354261737
"53","Construction and Extraction Occupations",2020,3533590,79002570,0.0447275322815448,-2.64760902446214
"54","Construction and Extraction Occupations",2021,3421730,78956820,0.0433367250606091,-3.16561910125397
"55","Construction and Extraction Occupations",2022,3569490,82430670,0.0433029356670278,4.31828344141706
"56","Construction and Extraction Occupations",2023,3642440,84468640,0.0431218023635754,2.04370932542184
"57","Education, Training, and Library Occupations",2016,4702780,78937840,0.0595757370609583,NA
"58","Education, Training, and Library Occupations",2017,4770780,80182190,0.059499247900313,1.44595324467655
"59","Education, Training, and Library Occupations",2018,4797030,81541710,0.0588291562686139,0.55022449159257
"60","Educational Instruction and Library Occupations",2019,4858280,82910710,0.0585965311357242,NA
"61","Educational Instruction and Library Occupations",2020,4635470,79002570,0.0586749266511203,-4.58619099763702
"62","Educational Instruction and Library Occupations",2021,4483510,78956820,0.056784328446865,-3.27820048452476
